,path,label,rec_id
0,191042_1.png,5,191042
1,215404_11.png,76,215404
2,29461_3.png,75,29461
3,179221_3.png,68,179221
4,159526_36.png,61,159526
5,281194_1.png,15,281194
6,192998_0.png,44,192998
7,436620_13.png,96,436620
8,248604_2.png,53,248604
9,438964_2.png,95,438964
10,194502_63.png,48,194502
11,150103_0.png,21,150103
12,381951_89.png,55,381951
13,173606_35.png,45,173606
14,187059_9.png,69,187059
15,251540_1.png,64,251540
16,193232_52.png,43,193232
17,381952_132.png,55,381952
18,267670_15.png,9,267670
19,183445_61.png,67,183445
20,279066_86.png,50,279066
21,243256_7.png,35,243256
22,134326_22.png,99,134326
23,232896_9.png,18,232896
24,29592_108.png,26,29592
25,46224_0.png,19,46224
26,388869_5.png,46,388869
27,290469_0.png,31,290469
28,208830_2.png,86,208830
29,246829_3.png,54,246829
30,286309_151.png,30,286309
31,147387_6.png,24,147387
32,179396_45.png,68,179396
33,215414_20.png,76,215414
34,391210_8.png,72,391210
35,134511_0.png,99,134511
36,273281_0.png,20,273281
37,442756_0.png,94,442756
38,353077_0.png,27,353077
39,182984_0.png,70,182984
40,234234_9.png,29,234234
41,191158_116.png,5,191158
42,178150_9.png,6,178150
43,393522_6.png,36,393522
44,436591_6.png,96,436591
45,183444_43.png,67,183444
46,29592_44.png,26,29592
47,148222_20.png,23,148222
48,391263_5.png,72,391263
49,174732_112.png,28,174732
50,208434_20.png,86,208434
51,194069_52.png,49,194069
52,341959_2.png,82,341959
53,191042_2.png,5,191042
54,263859_10.png,73,263859
55,12849_42.png,25,12849
56,191745_8.png,3,191745
57,165719_4.png,51,165719
58,165738_13.png,51,165738
59,47087_1.png,47,47087
60,287896_0.png,32,287896
61,442762_0.png,94,442762
62,3291_2.png,8,3291
63,393525_131.png,36,393525
64,243245_54.png,35,243245
65,166840_0.png,7,166840
66,192934_18.png,44,192934
67,286284_5.png,30,286284
68,281167_5.png,15,281167
69,365894_6.png,14,365894
70,281163_5.png,15,281163
71,356385_3.png,12,356385
72,291975_26.png,34,291975
73,182039_1.png,70,182039
74,26577_31.png,13,26577
75,253118_1.png,79,253118
76,286261_11.png,30,286261
77,269699_4.png,40,269699
78,194508_2.png,48,194508
79,39503_8.png,59,39503
80,257458_13.png,62,257458
81,263780_6.png,73,263780
82,190773_3.png,2,190773
83,23487_6.png,0,23487
84,224085_11.png,91,224085
85,247354_3.png,52,247354
86,208433_17.png,86,208433
87,191036_5.png,5,191036
88,356829_85.png,83,356829
89,148710_22.png,22,148710
90,179755_27.png,66,179755
91,281188_31.png,15,281188
92,439621_164.png,97,439621
93,165723_12.png,51,165723
94,143898_39.png,41,143898
95,250656_0.png,39,250656
96,238122_3.png,84,238122
97,282090_3.png,80,282090
98,39535_5.png,59,39535
