,Unnamed: 0,rec_id,path,label
0,10,437769,storage/slices/437769/49.pkl,turdus_philomelos
1,11,437769,storage/slices/437769/75.pkl,turdus_philomelos
2,12,437769,storage/slices/437769/74.pkl,turdus_philomelos
3,13,437769,storage/slices/437769/60.pkl,turdus_philomelos
4,14,437769,storage/slices/437769/48.pkl,turdus_philomelos
5,15,437769,storage/slices/437769/76.pkl,turdus_philomelos
6,16,437769,storage/slices/437769/62.pkl,turdus_philomelos
7,17,437769,storage/slices/437769/89.pkl,turdus_philomelos
8,18,437769,storage/slices/437769/88.pkl,turdus_philomelos
9,19,437769,storage/slices/437769/63.pkl,turdus_philomelos
10,20,437769,storage/slices/437769/77.pkl,turdus_philomelos
11,21,437769,storage/slices/437769/73.pkl,turdus_philomelos
12,22,437769,storage/slices/437769/67.pkl,turdus_philomelos
13,23,437769,storage/slices/437769/9.pkl,turdus_philomelos
14,24,437769,storage/slices/437769/98.pkl,turdus_philomelos
15,25,437769,storage/slices/437769/8.pkl,turdus_philomelos
16,26,437769,storage/slices/437769/66.pkl,turdus_philomelos
17,27,437769,storage/slices/437769/64.pkl,turdus_philomelos
18,28,437769,storage/slices/437769/59.pkl,turdus_philomelos
19,29,437769,storage/slices/437769/65.pkl,turdus_philomelos
20,30,437769,storage/slices/437769/16.pkl,turdus_philomelos
21,31,437769,storage/slices/437769/103.pkl,turdus_philomelos
22,32,437769,storage/slices/437769/117.pkl,turdus_philomelos
23,33,437769,storage/slices/437769/116.pkl,turdus_philomelos
24,34,437769,storage/slices/437769/17.pkl,turdus_philomelos
25,35,437769,storage/slices/437769/15.pkl,turdus_philomelos
26,36,437769,storage/slices/437769/114.pkl,turdus_philomelos
27,37,437769,storage/slices/437769/100.pkl,turdus_philomelos
28,38,437769,storage/slices/437769/101.pkl,turdus_philomelos
29,39,437769,storage/slices/437769/115.pkl,turdus_philomelos
30,40,437769,storage/slices/437769/38.pkl,turdus_philomelos
31,41,437769,storage/slices/437769/111.pkl,turdus_philomelos
